land_size_acres,experience_years,loan_amount,loan_amount_per_acre,loan_to_experience_ratio,crop_type,crop_season_risk,irrigation,soil_quality,yield_variance,rainfall_deviation,market_volatility,repayment_history,loan_purpose,default_risk
1.86,10,141712,76189.25,12882.91,wheat,high,assured,poor,0.27,34,high,none,consumption,1
0.7,0,204866,292665.71,204866.0,maize,low,assured,poor,0.65,22,low,mixed,semi,1
2.42,20,89671,37054.13,4270.05,pulses,low,rainfed,good,0.39,26,medium,mixed,semi,0
2.05,24,90488,44140.49,3619.52,cotton,high,rainfed,poor,0.21,9,high,poor,productive,1
1.24,12,232060,187145.16,17850.77,cotton,high,rainfed,good,0.97,29,high,none,consumption,1
1.97,11,300975,152779.19,25081.25,maize,low,rainfed,good,0.75,4,medium,none,productive,1
3.79,18,175956,46426.39,9260.84,wheat,high,assured,good,0.55,27,medium,poor,productive,0
5.6,19,302680,54050.0,15134.0,maize,low,partial,average,0.5,28,medium,poor,consumption,0
2.62,12,32565,12429.39,2505.0,maize,low,partial,average,0.76,34,medium,poor,consumption,1
3.99,18,250226,62713.28,13169.79,pulses,low,rainfed,good,0.51,31,high,mixed,semi,0
0.88,1,71624,81390.91,35812.0,cotton,low,assured,good,0.64,14,high,poor,consumption,1
0.97,3,495551,510877.32,123887.75,wheat,low,rainfed,poor,0.56,14,low,good,productive,1
4.24,12,17999,4245.05,1384.54,rice,low,partial,poor,0.38,22,low,poor,semi,0
2.87,9,254842,88795.12,25484.2,maize,low,partial,good,0.36,29,high,good,consumption,0
0.8,26,333273,416591.25,12343.44,maize,low,assured,good,0.95,20,low,none,productive,1
3.21,9,53288,16600.62,5328.8,wheat,low,assured,poor,0.42,28,low,good,productive,0
1.64,26,12745,7771.34,472.04,pulses,low,rainfed,poor,0.2,18,low,poor,consumption,1
1.31,3,235174,179522.14,58793.5,millets,low,partial,poor,0.44,13,low,mixed,productive,0
1.13,11,193574,171304.42,16131.17,millets,high,partial,poor,0.84,9,high,poor,consumption,1
4.64,2,247808,53406.9,82602.67,rice,low,partial,good,0.71,5,low,mixed,semi,0
4.11,17,431526,104994.16,23973.67,rice,low,assured,average,0.43,17,medium,good,semi,0
4.67,14,446347,95577.52,29756.47,wheat,high,rainfed,average,0.73,18,medium,poor,consumption,1
4.21,21,353704,84015.2,16077.45,pulses,low,rainfed,good,0.67,34,low,poor,productive,0
2.96,20,397216,134194.59,18915.05,millets,high,rainfed,poor,0.81,23,low,mixed,consumption,1
0.69,23,357236,517733.33,14884.83,cotton,low,assured,poor,0.21,35,low,poor,semi,1
2.03,23,66575,32795.57,2773.96,pulses,low,partial,poor,0.73,5,high,mixed,consumption,1
5.18,22,380516,73458.69,16544.17,cotton,high,rainfed,good,0.23,36,medium,mixed,consumption,1
2.55,2,170606,66904.31,56868.67,maize,low,assured,poor,0.26,17,low,poor,semi,0
5.71,13,101674,17806.3,7262.43,wheat,low,partial,average,0.62,27,high,good,consumption,0
3.91,22,411064,105131.46,17872.35,cotton,high,rainfed,good,0.55,34,high,poor,semi,1
5.64,6,464642,82383.33,66377.43,rice,low,rainfed,poor,0.46,9,medium,mixed,semi,1
2.86,3,141448,49457.34,35362.0,rice,low,rainfed,average,0.58,21,medium,none,productive,0
4.18,7,44031,10533.73,5503.88,maize,low,rainfed,average,0.74,3,high,good,semi,0
5.54,16,267487,48282.85,15734.53,millets,high,assured,poor,0.23,29,medium,mixed,consumption,0
5.36,16,455523,84985.63,26795.47,pulses,low,rainfed,good,0.26,25,high,poor,productive,0
4.53,23,455576,100568.65,18982.33,rice,low,assured,average,0.22,29,high,good,consumption,0
3.11,13,369645,118856.91,26403.21,cotton,high,rainfed,good,0.91,23,high,good,productive,0
3.1,16,224984,72575.48,13234.35,rice,low,assured,average,0.8,3,medium,none,semi,0
5.56,27,382614,68815.47,13664.79,wheat,high,partial,average,0.4,24,high,mixed,consumption,0
0.63,16,72917,115741.27,4289.24,cotton,high,rainfed,poor,0.27,30,low,none,productive,1
4.94,8,380671,77058.91,42296.78,cotton,high,partial,good,0.75,2,high,mixed,consumption,1
3.43,10,358069,104393.29,32551.73,pulses,low,rainfed,average,0.58,20,low,none,semi,0
4.97,8,203622,40970.22,22624.67,pulses,low,rainfed,poor,0.14,22,high,poor,productive,1
3.57,12,422657,118391.32,32512.08,cotton,low,partial,poor,0.57,36,low,none,productive,0
3.15,10,487610,154796.83,44328.18,rice,low,assured,average,0.8,16,medium,poor,productive,1
3.63,25,425507,117219.56,16365.65,millets,low,rainfed,poor,0.69,14,low,none,semi,1
4.32,28,439509,101738.19,15155.48,maize,low,partial,good,0.39,13,low,none,productive,0
5.97,9,102728,17207.37,10272.8,rice,low,partial,good,0.57,5,low,mixed,semi,0
1.39,12,347100,249712.23,26700.0,maize,low,partial,poor,0.62,32,low,none,semi,1
4.3,6,123076,28622.33,17582.29,pulses,low,rainfed,poor,0.3,4,high,good,consumption,1
4.58,23,115935,25313.32,4830.62,rice,low,rainfed,good,0.58,28,low,mixed,semi,0
5.35,10,367306,68655.33,33391.45,pulses,low,assured,good,0.15,25,medium,poor,consumption,0
3.24,21,42084,12988.89,1912.91,millets,low,assured,good,0.39,27,high,none,semi,0
3.92,28,380927,97175.26,13135.41,rice,low,partial,poor,0.16,37,low,poor,productive,0
5.23,18,35263,6742.45,1855.95,pulses,low,rainfed,poor,0.92,10,medium,mixed,semi,0
2.88,11,485749,168662.85,40479.08,millets,high,rainfed,average,0.56,36,high,mixed,semi,1
5.95,29,80199,13478.82,2673.3,rice,low,rainfed,good,0.27,7,medium,poor,consumption,1
4.37,7,463573,106080.78,57946.62,millets,low,partial,good,0.39,17,high,none,productive,0
1.17,8,102366,87492.31,11374.0,cotton,low,partial,poor,0.75,7,high,good,semi,0
4.32,4,214477,49647.45,42895.4,millets,low,assured,poor,0.9,39,high,none,productive,1
5.84,5,22284,3815.75,3714.0,rice,low,partial,average,0.15,17,high,none,semi,0
5.93,6,445821,75180.61,63688.71,cotton,high,assured,poor,0.43,7,low,mixed,consumption,1
4.0,11,206750,51687.5,17229.17,maize,low,rainfed,poor,0.86,25,low,mixed,consumption,1
5.8,22,424056,73113.1,18437.22,rice,low,rainfed,good,0.95,16,high,none,productive,1
3.15,27,170313,54067.62,6082.61,rice,low,rainfed,average,0.95,10,medium,poor,productive,0
4.55,23,341574,75071.21,14232.25,millets,high,rainfed,average,0.23,31,low,poor,productive,1
0.87,30,431580,496068.97,13921.94,wheat,low,partial,average,0.14,3,low,mixed,consumption,1
5.83,25,314640,53969.13,12101.54,cotton,high,assured,average,0.87,17,low,poor,productive,0
0.86,11,358231,416547.67,29852.58,pulses,low,assured,poor,0.5,19,low,good,semi,1
3.09,10,30763,9955.66,2796.64,wheat,high,rainfed,good,0.35,34,low,none,semi,1
3.44,27,177491,51596.22,6338.96,rice,low,rainfed,good,0.91,22,medium,none,consumption,1
4.93,16,135185,27420.89,7952.06,millets,high,partial,good,0.46,2,low,good,productive,0
4.32,9,58542,13551.39,5854.2,millets,high,rainfed,average,0.23,1,low,none,productive,0
4.04,19,94030,23274.75,4701.5,rice,low,assured,poor,0.47,39,high,good,productive,0
3.92,17,492247,125573.21,27347.06,wheat,high,partial,average,0.62,27,low,mixed,productive,0
4.67,18,449302,96210.28,23647.47,cotton,low,rainfed,poor,0.89,18,medium,none,consumption,1
2.34,25,491821,210179.91,18916.19,maize,low,rainfed,poor,0.78,1,low,good,consumption,1
1.6,9,40562,25351.25,4056.2,rice,low,rainfed,good,0.94,24,low,good,semi,0
3.71,19,202276,54521.83,10113.8,millets,low,partial,good,0.7,40,medium,none,consumption,1
0.84,7,390846,465292.86,48855.75,millets,high,partial,average,0.46,33,low,mixed,semi,1
4.16,16,2767,665.14,162.76,wheat,high,partial,average,0.37,35,high,mixed,consumption,1
5.38,24,327769,60923.61,13110.76,cotton,low,rainfed,poor,0.95,39,high,none,consumption,1
5.52,22,170859,30952.72,7428.65,maize,low,partial,poor,0.82,14,high,good,semi,0
4.91,27,447989,91240.12,15999.61,maize,low,assured,poor,0.94,30,low,mixed,productive,0
4.18,18,417154,99797.61,21955.47,pulses,low,assured,good,0.25,39,medium,none,consumption,1
2.24,18,488258,217972.32,25697.79,rice,low,partial,good,0.81,21,medium,good,productive,0
4.47,18,445433,99649.44,23443.84,cotton,high,partial,average,0.28,11,high,good,consumption,0
4.12,9,24152,5862.14,2415.2,wheat,low,rainfed,good,0.24,0,high,mixed,semi,0
2.26,29,61013,26996.9,2033.77,maize,low,assured,average,0.34,25,medium,good,productive,0
3.15,9,449927,142833.97,44992.7,rice,low,rainfed,poor,0.39,19,medium,none,semi,1
3.36,1,396754,118081.55,198377.0,maize,low,assured,poor,0.85,40,low,mixed,consumption,1
5.39,15,7272,1349.17,454.5,millets,low,partial,poor,0.12,19,high,poor,productive,0
1.88,27,227354,120932.98,8119.79,rice,low,assured,average,0.76,28,low,none,semi,1
1.48,10,64447,43545.27,5858.82,pulses,low,partial,average,0.51,33,low,poor,consumption,1
0.73,9,300472,411605.48,30047.2,cotton,high,assured,good,0.45,9,medium,good,consumption,1
4.33,26,430890,99512.7,15958.89,pulses,low,assured,average,0.32,8,medium,none,semi,0
2.93,27,278110,94918.09,9932.5,millets,low,partial,poor,0.71,13,medium,none,consumption,1
5.85,6,282141,48229.23,40305.86,cotton,high,assured,average,0.81,1,high,none,productive,1
2.96,23,169273,57186.82,7053.04,wheat,high,assured,poor,0.49,21,high,mixed,consumption,1
2.66,6,43861,16489.1,6265.86,millets,high,rainfed,good,0.27,5,low,good,productive,0
0.86,7,186206,216518.6,23275.75,wheat,low,partial,average,0.47,3,high,mixed,consumption,1
3.72,8,183914,49439.25,20434.89,maize,low,assured,good,0.93,7,high,none,consumption,1
1.02,20,226808,222360.78,10800.38,maize,low,partial,good,0.72,29,medium,good,semi,0
5.65,8,306945,54326.55,34105.0,cotton,high,rainfed,average,0.77,27,medium,poor,consumption,1
2.07,2,60131,29048.79,20043.67,wheat,high,rainfed,good,0.87,19,high,good,consumption,1
2.01,30,95142,47334.33,3069.1,rice,low,assured,good,0.59,9,high,mixed,semi,0
4.01,15,30503,7606.73,1906.44,pulses,low,rainfed,average,0.5,22,low,good,consumption,0
4.35,7,422765,97187.36,52845.62,rice,low,rainfed,average,0.94,4,low,good,semi,0
4.58,25,139978,30562.88,5383.77,wheat,low,partial,poor,0.25,27,medium,none,semi,0
2.33,4,227233,97524.89,45446.6,wheat,low,assured,average,0.63,8,low,mixed,semi,0
2.78,3,373732,134435.97,93433.0,pulses,low,partial,good,0.95,10,medium,poor,productive,1
4.94,22,371506,75203.64,16152.43,millets,low,partial,good,0.91,7,high,none,semi,1
4.38,1,488642,111562.1,244321.0,wheat,high,rainfed,average,0.95,34,low,mixed,productive,1
1.53,3,437699,286077.78,109424.75,maize,low,assured,average,0.87,2,low,none,productive,1
1.19,20,5544,4658.82,264.0,wheat,high,rainfed,poor,0.4,16,low,good,semi,0
4.9,26,289796,59142.04,10733.19,cotton,low,rainfed,good,0.69,22,high,good,consumption,0
1.69,6,219551,129911.83,31364.43,rice,low,partial,average,0.37,13,medium,none,consumption,1
4.23,23,100050,23652.48,4168.75,wheat,low,rainfed,average,0.13,25,high,good,consumption,0
2.17,9,462086,212942.86,46208.6,millets,low,assured,average,0.31,10,low,good,consumption,0
4.36,28,387087,88781.42,13347.83,maize,low,partial,good,0.12,25,high,mixed,productive,0
1.77,4,98249,55507.91,19649.8,millets,high,rainfed,poor,0.57,31,low,good,consumption,1
5.3,2,246842,46573.96,82280.67,cotton,high,partial,poor,0.42,37,medium,good,productive,1
3.06,7,279558,91358.82,34944.75,rice,low,rainfed,average,0.12,1,medium,good,productive,0
2.55,13,318198,124783.53,22728.43,pulses,low,partial,good,0.82,0,high,poor,semi,1
2.09,22,339020,162210.53,14740.0,cotton,low,partial,good,0.27,34,high,good,semi,1
5.88,11,265089,45083.16,22090.75,rice,low,rainfed,average,0.96,26,low,mixed,semi,0
4.9,7,79447,16213.67,9930.88,maize,low,assured,good,0.22,26,high,mixed,consumption,0
4.15,18,185666,44738.8,9771.89,cotton,high,rainfed,average,0.16,0,low,mixed,consumption,0
1.83,4,441610,241316.94,88322.0,pulses,low,partial,poor,0.41,2,medium,none,consumption,1
3.88,4,52784,13604.12,10556.8,millets,low,assured,good,0.9,13,high,none,consumption,1
4.12,29,44341,10762.38,1478.03,rice,low,assured,poor,0.67,26,high,none,consumption,1
2.15,14,282506,131398.14,18833.73,wheat,low,partial,average,0.73,40,low,none,semi,1
2.9,1,171824,59249.66,85912.0,rice,low,partial,good,0.39,16,high,poor,semi,1
3.95,2,145156,36748.35,48385.33,wheat,low,assured,average,0.97,29,high,none,consumption,1
4.66,2,179366,38490.56,59788.67,wheat,high,assured,average,0.56,11,low,poor,productive,0
0.83,8,395999,477107.23,43999.89,rice,low,partial,average,0.58,12,medium,poor,productive,1
5.86,4,307738,52515.02,61547.6,cotton,high,partial,poor,0.42,11,high,good,consumption,1
4.1,5,166319,40565.61,27719.83,cotton,high,partial,average,0.99,38,high,poor,consumption,1
4.53,14,151345,33409.49,10089.67,cotton,high,assured,average,0.84,2,medium,good,productive,0
5.36,7,62075,11581.16,7759.38,rice,low,partial,poor,0.55,29,high,poor,productive,0
5.93,15,378447,63819.06,23652.94,millets,high,partial,average,0.49,13,high,none,semi,1
1.51,9,486128,321939.07,48612.8,wheat,high,partial,poor,0.69,5,low,mixed,productive,0
5.85,4,11356,1941.2,2271.2,rice,low,assured,good,0.8,40,low,mixed,consumption,0
5.43,13,243918,44920.44,17422.71,wheat,high,assured,poor,0.24,4,low,mixed,semi,0
1.09,2,493347,452611.93,164449.0,maize,low,assured,good,0.32,0,high,poor,consumption,1
3.62,17,205833,56859.94,11435.17,cotton,high,partial,average,0.3,7,medium,none,productive,0
3.75,3,439151,117106.93,109787.75,rice,low,partial,average,0.19,16,medium,mixed,consumption,0
2.82,1,144193,51132.27,72096.5,maize,low,assured,poor,0.63,30,high,mixed,semi,1
3.95,14,4336,1097.72,289.07,pulses,low,assured,good,0.26,6,medium,mixed,semi,0
0.58,17,333430,574879.31,18523.89,pulses,low,assured,poor,0.14,3,high,mixed,semi,1
2.04,8,107386,52640.2,11931.78,cotton,low,assured,poor,0.21,29,high,none,productive,0
1.29,10,153485,118980.62,13953.18,millets,low,rainfed,good,0.95,34,high,none,productive,1
2.34,11,327579,139991.03,27298.25,rice,low,rainfed,average,0.91,1,high,good,consumption,1
2.72,28,470598,173013.97,16227.52,pulses,low,assured,poor,0.77,33,medium,good,consumption,1
1.78,16,429072,241051.69,25239.53,millets,low,rainfed,good,0.72,35,medium,poor,semi,1
2.85,12,2347,823.51,180.54,rice,low,assured,good,0.67,28,high,good,productive,0
2.09,14,312650,149593.3,20843.33,maize,low,partial,good,0.61,13,high,none,productive,1
1.99,9,107668,54104.52,10766.8,wheat,high,assured,poor,0.73,30,medium,poor,consumption,1
4.91,5,23604,4807.33,3934.0,rice,low,rainfed,poor,0.11,23,high,none,productive,1
1.43,13,9714,6793.01,693.86,wheat,low,partial,good,0.17,36,high,good,semi,0
1.71,25,98372,57527.49,3783.54,wheat,low,partial,good,0.46,34,high,poor,consumption,1
2.06,4,273683,132855.83,54736.6,cotton,low,partial,good,0.99,24,high,poor,consumption,1
2.32,14,321959,138775.43,21463.93,rice,low,rainfed,average,0.91,27,low,none,semi,1
5.71,21,5941,1040.46,270.05,millets,high,rainfed,good,0.23,39,high,mixed,semi,1
0.84,19,315144,375171.43,15757.2,pulses,low,assured,average,0.1,7,medium,mixed,productive,0
4.55,10,203503,44725.93,18500.27,millets,low,rainfed,average,0.22,3,medium,good,consumption,0
1.14,17,184772,162080.7,10265.11,wheat,low,rainfed,poor,0.98,11,low,good,semi,1
2.27,13,51737,22791.63,3695.5,rice,low,rainfed,good,0.84,3,low,none,semi,1
2.42,15,483970,199987.6,30248.12,rice,low,partial,good,0.64,35,medium,mixed,consumption,1
1.59,21,25116,15796.23,1141.64,wheat,low,assured,average,0.47,25,low,none,productive,0
5.31,6,117298,22090.02,16756.86,millets,low,rainfed,average,0.12,10,high,poor,semi,1
0.65,20,465256,715778.46,22155.05,wheat,high,rainfed,poor,0.94,13,high,poor,productive,1
0.74,20,425811,575420.27,20276.71,pulses,low,partial,good,0.18,3,low,poor,productive,1
5.15,9,120573,23412.23,12057.3,millets,high,assured,poor,0.73,26,low,none,productive,1
4.16,21,348938,83879.33,15860.82,wheat,low,assured,average,0.77,17,high,none,consumption,1
4.44,7,296081,66684.91,37010.12,rice,low,rainfed,poor,0.25,13,medium,none,productive,0
0.68,16,256373,377019.12,15080.76,maize,low,assured,poor,0.68,37,low,poor,semi,1
5.08,8,397046,78158.66,44116.22,millets,low,rainfed,average,0.45,18,high,poor,semi,1
3.59,13,496890,138409.47,35492.14,millets,high,partial,good,0.5,15,medium,poor,consumption,1
0.58,18,332539,573343.1,17502.05,maize,low,partial,poor,0.67,32,high,none,consumption,1
2.7,13,95733,35456.67,6838.07,cotton,high,assured,average,0.59,22,high,poor,productive,0
1.76,25,130923,74388.07,5035.5,pulses,low,partial,good,0.75,2,high,none,semi,1
2.13,14,303783,142621.13,20252.2,cotton,low,rainfed,average,0.64,30,high,mixed,productive,0
0.9,26,242142,269046.67,8968.22,cotton,low,assured,poor,0.98,5,high,none,semi,1
1.97,21,140862,71503.55,6402.82,rice,low,assured,average,0.72,21,medium,mixed,consumption,0
2.19,13,182155,83175.8,13011.07,maize,low,partial,average,0.21,25,medium,none,semi,0
4.4,15,121209,27547.5,7575.56,cotton,low,rainfed,average,0.28,34,low,mixed,productive,0
5.11,29,413825,80983.37,13794.17,pulses,low,partial,poor,0.39,3,high,none,semi,1
2.45,4,339869,138722.04,67973.8,rice,low,partial,poor,0.48,22,low,mixed,semi,1
5.12,17,120751,23584.18,6708.39,millets,low,assured,good,0.4,14,high,poor,semi,0
2.84,4,12964,4564.79,2592.8,maize,low,assured,poor,0.93,32,high,mixed,productive,0
4.21,29,298467,70894.77,9948.9,rice,low,assured,average,0.33,40,medium,none,semi,0
3.91,17,495771,126795.65,27542.83,wheat,low,assured,average,0.22,9,high,good,consumption,1
0.87,4,273849,314768.97,54769.8,wheat,high,partial,good,0.17,0,high,mixed,semi,1
1.06,18,243223,229455.66,12801.21,millets,high,partial,poor,0.69,23,medium,good,consumption,1
5.66,21,49269,8704.77,2239.5,pulses,low,partial,good,0.53,14,low,none,productive,0
3.63,15,380681,104870.8,23792.56,rice,low,rainfed,good,0.96,23,high,none,consumption,1
3.85,3,274300,71246.75,68575.0,rice,low,assured,poor,0.6,6,medium,poor,consumption,1
2.09,2,379142,181407.66,126380.67,cotton,high,assured,poor,0.97,8,high,good,consumption,1
4.54,0,146632,32297.8,146632.0,wheat,high,assured,average,0.81,26,medium,none,semi,1
5.42,1,277322,51166.42,138661.0,maize,low,partial,poor,0.68,6,medium,poor,productive,1
4.46,9,449308,100741.7,44930.8,pulses,low,rainfed,average,0.91,6,low,mixed,productive,0
0.75,11,337345,449793.33,28112.08,maize,low,rainfed,good,0.52,1,high,good,semi,1
1.61,22,208808,129694.41,9078.61,maize,low,assured,poor,0.58,12,medium,mixed,consumption,1
5.35,29,233716,43685.23,7790.53,maize,low,partial,poor,0.68,34,low,none,consumption,1
3.56,10,149702,42051.12,13609.27,rice,low,assured,good,0.41,30,medium,good,semi,0
5.67,19,406468,71687.48,20323.4,millets,low,rainfed,average,0.69,30,high,none,semi,1
4.35,29,281994,64826.21,9399.8,pulses,low,rainfed,good,0.66,28,low,mixed,semi,0
4.36,22,349851,80241.06,15210.91,millets,high,assured,average,0.18,13,medium,poor,semi,0
3.86,4,164607,42644.3,32921.4,maize,low,partial,poor,0.48,26,medium,poor,semi,0
2.27,7,433401,190925.55,54175.12,pulses,low,partial,average,0.64,40,low,good,semi,0
1.63,29,265901,163129.45,8863.37,wheat,low,partial,good,0.5,16,high,good,consumption,1
0.68,10,487289,716601.47,44299.0,maize,low,rainfed,poor,0.52,21,low,poor,productive,1
1.88,30,211089,112281.38,6809.32,rice,low,assured,good,0.74,6,medium,poor,semi,0
1.14,29,32891,28851.75,1096.37,rice,low,assured,good,0.93,4,low,poor,semi,0
4.65,3,427219,91875.05,106804.75,maize,low,assured,good,0.8,21,medium,mixed,productive,0
4.38,12,118641,27086.99,9126.23,wheat,high,rainfed,average,0.31,36,low,poor,semi,1
2.48,2,67886,27373.39,22628.67,rice,low,assured,good,0.99,25,medium,mixed,semi,0
3.35,28,211219,63050.45,7283.41,wheat,low,assured,good,0.54,3,medium,none,consumption,0
5.34,20,267258,50048.31,12726.57,wheat,low,rainfed,poor,0.95,29,medium,good,consumption,1
2.69,21,430542,160052.79,19570.09,millets,high,rainfed,average,0.31,15,low,mixed,productive,0
1.84,2,368973,200528.8,122991.0,maize,low,assured,average,0.3,30,medium,mixed,productive,0
5.05,25,118282,23422.18,4549.31,millets,low,assured,average,0.95,18,low,good,productive,0
1.27,12,7380,5811.02,567.69,pulses,low,assured,good,0.22,10,high,good,semi,0
2.26,12,449861,199053.54,34604.69,pulses,low,rainfed,poor,0.61,14,low,poor,consumption,1
2.71,8,232596,85828.78,25844.0,rice,low,assured,poor,0.38,26,medium,mixed,consumption,0
1.79,27,143468,80149.72,5123.86,millets,high,partial,poor,0.81,1,low,none,productive,1
5.04,9,414505,82243.06,41450.5,maize,low,partial,poor,0.91,29,medium,good,productive,0
3.04,3,437777,144005.59,109444.25,pulses,low,partial,good,0.29,34,medium,poor,semi,1
5.31,30,376156,70839.17,12134.06,millets,high,rainfed,poor,0.46,20,low,good,productive,0
4.43,26,195225,44068.85,7230.56,wheat,high,partial,average,0.56,15,medium,none,semi,0
3.39,7,420125,123930.68,52515.62,pulses,low,rainfed,good,0.63,10,low,mixed,productive,0
4.29,6,213028,49656.88,30432.57,wheat,high,rainfed,good,0.83,37,high,mixed,consumption,1
3.2,24,306075,95648.44,12243.0,pulses,low,assured,good,1.0,32,high,mixed,consumption,1
3.79,2,464037,122437.2,154679.0,rice,low,partial,average,0.32,25,low,poor,consumption,1
3.84,30,481374,125357.81,15528.19,millets,high,assured,average,0.25,8,medium,mixed,productive,0
4.74,0,219468,46301.27,219468.0,maize,low,partial,poor,0.98,23,high,poor,semi,1
2.42,23,199051,82252.48,8293.79,millets,high,rainfed,poor,0.16,7,low,good,productive,0
1.96,1,48249,24616.84,24124.5,millets,high,assured,average,0.76,16,high,mixed,semi,1
5.63,4,261682,46479.93,52336.4,pulses,low,rainfed,poor,0.82,13,medium,mixed,semi,0
1.34,22,260433,194352.99,11323.17,pulses,low,rainfed,average,0.28,29,medium,none,semi,1
1.63,7,402993,247234.97,50374.12,millets,low,partial,good,0.45,3,medium,none,consumption,1
3.74,12,160347,42873.53,12334.38,rice,low,assured,good,0.21,13,low,good,semi,0
1.83,8,337053,184181.97,37450.33,maize,low,assured,poor,0.5,21,medium,poor,productive,1
5.77,12,424662,73598.27,32666.31,pulses,low,assured,poor,0.75,23,low,none,productive,0
4.42,0,251185,56829.19,251185.0,maize,low,rainfed,poor,0.61,39,high,none,productive,1
1.15,19,185621,161409.57,9281.05,cotton,high,assured,good,0.85,26,low,good,semi,1
2.49,23,312868,125649.8,13036.17,rice,low,rainfed,good,0.35,0,low,mixed,productive,0
3.13,19,243790,77888.18,12189.5,millets,low,assured,average,0.89,40,low,good,productive,0
3.53,25,453504,128471.39,17442.46,wheat,low,partial,good,0.31,18,low,good,productive,0
5.82,4,458230,78733.68,91646.0,cotton,low,partial,poor,0.95,2,medium,good,productive,0
3.29,8,355366,108013.98,39485.11,pulses,low,rainfed,poor,0.35,13,medium,poor,productive,0
4.07,3,318315,78210.07,79578.75,cotton,low,partial,average,0.2,33,high,none,semi,1
5.86,11,277271,47315.87,23105.92,rice,low,assured,good,0.63,1,medium,none,productive,0
5.66,29,179929,31789.58,5997.63,rice,low,partial,poor,0.71,29,medium,none,consumption,1
4.4,2,43430,9870.45,14476.67,maize,low,assured,poor,0.7,31,low,good,consumption,0
1.98,7,196631,99308.59,24578.88,maize,low,assured,poor,0.41,38,low,good,consumption,0
2.5,7,472198,188879.2,59024.75,millets,low,assured,poor,0.56,7,medium,good,consumption,1
1.58,4,101079,63974.05,20215.8,cotton,high,rainfed,poor,0.33,29,high,poor,productive,1
3.56,10,355576,99880.9,32325.09,wheat,low,assured,average,0.3,17,medium,poor,productive,0
3.99,30,122189,30623.81,3941.58,millets,high,assured,average,0.19,24,medium,good,semi,0
1.21,9,381912,315629.75,38191.2,rice,low,partial,average,0.19,28,medium,good,semi,0
1.05,28,73451,69953.33,2532.79,rice,low,rainfed,average,0.42,12,high,good,productive,0
3.28,8,182663,55689.94,20295.89,millets,low,partial,poor,0.27,40,high,mixed,productive,0
3.92,7,469765,119838.01,58720.62,maize,low,assured,poor,0.29,32,low,none,productive,0
2.65,14,85499,32263.77,5699.93,wheat,low,assured,average,0.76,39,high,good,semi,0
2.43,26,472689,194522.22,17507.0,wheat,low,partial,good,0.95,30,high,poor,productive,1
0.75,19,436197,581596.0,21809.85,rice,low,partial,average,1.0,25,medium,none,semi,1
5.35,9,49639,9278.32,4963.9,maize,low,assured,average,0.81,39,high,none,productive,1
4.28,28,225749,52745.09,7784.45,maize,low,partial,average,0.9,12,low,mixed,consumption,0
4.43,10,210138,47435.21,19103.45,cotton,high,assured,good,0.2,18,high,mixed,semi,0
0.75,1,435028,580037.33,217514.0,pulses,low,partial,good,0.44,11,low,poor,semi,1
4.46,10,472628,105970.4,42966.18,wheat,high,partial,average,0.57,34,low,poor,consumption,1
4.62,10,75248,16287.45,6840.73,maize,low,partial,good,0.29,9,high,poor,productive,0
2.02,27,227616,112681.19,8129.14,wheat,low,assured,average,0.61,33,low,none,productive,0
4.48,15,73296,16360.71,4581.0,wheat,low,assured,average,0.89,26,high,none,consumption,1
5.64,19,109078,19340.07,5453.9,millets,high,partial,average,0.28,14,high,good,consumption,0
3.95,25,357200,90430.38,13738.46,millets,low,rainfed,poor,0.53,8,high,good,semi,0
2.28,25,323195,141752.19,12430.58,maize,low,assured,poor,0.59,10,high,mixed,semi,1
4.37,24,173033,39595.65,6921.32,pulses,low,partial,poor,0.15,11,low,mixed,consumption,0
3.89,3,303401,77995.12,75850.25,pulses,low,assured,poor,0.93,2,high,poor,consumption,1
2.03,28,174112,85769.46,6003.86,wheat,high,partial,poor,0.55,29,medium,none,consumption,1
2.84,2,210301,74049.65,70100.33,pulses,low,assured,good,0.72,33,low,mixed,productive,0
2.14,29,180594,84389.72,6019.8,pulses,low,assured,poor,0.32,25,low,poor,productive,0
3.21,18,461054,143630.53,24266.0,rice,low,assured,average,0.28,32,high,none,semi,1
0.74,7,445715,602317.57,55714.38,pulses,low,partial,average,0.32,31,low,none,productive,1
1.21,18,222991,184290.08,11736.37,rice,low,assured,average,0.93,38,medium,none,semi,1
1.53,1,439667,287364.05,219833.5,maize,low,rainfed,good,0.22,2,high,mixed,consumption,1
2.55,13,156645,61429.41,11188.93,millets,low,rainfed,average,0.36,31,high,poor,productive,1
1.67,19,115056,68895.81,5752.8,wheat,low,assured,average,0.91,3,high,mixed,consumption,0
2.01,7,273376,136007.96,34172.0,pulses,low,assured,average,0.61,39,low,poor,productive,1
5.7,0,432955,75957.02,432955.0,cotton,low,assured,poor,0.78,3,low,poor,consumption,1
5.18,28,307640,59389.96,10608.28,wheat,high,rainfed,good,0.8,1,medium,good,consumption,1
1.55,1,303208,195618.06,151604.0,maize,low,assured,good,0.77,25,high,none,consumption,1
1.99,28,485017,243727.14,16724.72,maize,low,assured,poor,0.94,9,high,mixed,semi,1
2.66,15,34389,12928.2,2149.31,millets,high,assured,good,0.53,25,low,mixed,consumption,0
0.52,19,28891,55559.62,1444.55,pulses,low,assured,good,0.83,10,medium,none,semi,1
